Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,426.0,506.0,31.6,79.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0.5Bht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,509.0,568.0,28.6,76.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0.5Caw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,450.0,536.0,28.2,78.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0.5Cht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,547.0,618.0,26.0,74.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0.5Daw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,8.0,24.0,68.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0.5Dawmic
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,526.0,612.0,26.8,72.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0.5Dht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,423.0,497.0,30.6,78.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Aaw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-38,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Aawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,411.0,493.0,33.6,79.7,-40,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Aht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,475.0,541.0,29.6,77.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-1Baw
