Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
0.069,0.3,1.36,0.007,0.009,N,N,N,<0.0005,N,N,N,432.0,37.0,67tot33res,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-99,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-<5awch1
0.069,0.3,1.36,0.007,0.009,N,N,N,<0.0005,N,N,N,432.0,37.0,67tot33res,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-72,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-<5awch2
0.069,0.3,1.36,0.007,0.009,N,N,N,<0.0005,N,N,N,432.0,37.0,67tot33res,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,N,N,N,N,23.0,5.0,72.0,0.0,0.0,Evans-Al/CMn-1990-<5aw
0.069,0.3,1.36,0.007,0.009,N,N,N,<0.0005,N,N,N,432.0,37.0,67tot33res,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,393.0,500.0,31.8,77.0,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-<5ht
0.069,0.3,1.36,0.007,0.009,N,N,N,<0.0005,N,N,N,432.0,37.0,67tot33res,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-100,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-<5htch1
0.069,0.3,1.36,0.007,0.009,N,N,N,<0.0005,N,N,N,432.0,37.0,67tot33res,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-78,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-<5htch2
0.073,0.33,1.39,0.007,0.008,N,N,N,<0.0005,N,N,N,427.0,39.0,66totndres,20.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,475.0,536.0,33.4,80.7,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-20aw
0.073,0.33,1.39,0.007,0.008,N,N,N,<0.0005,N,N,N,427.0,39.0,66totndres,20.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-95,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-20awch1
0.073,0.33,1.39,0.007,0.008,N,N,N,<0.0005,N,N,N,427.0,39.0,66totndres,20.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-70,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-20awch2
0.073,0.33,1.39,0.007,0.008,N,N,N,<0.0005,N,N,N,427.0,39.0,66totndres,20.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,387.0,493.0,32.5,80.7,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-20ht
0.073,0.33,1.39,0.007,0.008,N,N,N,<0.0005,N,N,N,427.0,39.0,66totndres,20.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-78,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-20htch2
0.078,0.32,1.39,0.007,0.009,N,N,N,<0.0005,N,N,N,436.0,42.0,66totndres,44.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,478.0,541.0,30.4,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-44aw
0.078,0.32,1.39,0.007,0.009,N,N,N,<0.0005,N,N,N,436.0,42.0,66totndres,44.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-88,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-44awch1
0.078,0.32,1.39,0.007,0.009,N,N,N,<0.0005,N,N,N,436.0,42.0,66totndres,44.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-60,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-44awch2
0.078,0.32,1.39,0.007,0.009,N,N,N,<0.0005,N,N,N,436.0,42.0,66totndres,44.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,398.0,499.0,32.8,80.7,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-44ht
0.078,0.32,1.39,0.007,0.009,N,N,N,<0.0005,N,N,N,436.0,42.0,66totndres,44.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-94,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-44htch1
0.078,0.32,1.39,0.007,0.009,N,N,N,<0.0005,N,N,N,436.0,42.0,66totndres,44.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-75,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-44htch2
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,478.0,540.0,31.2,80.7,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-78aw
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-77,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-78awch1
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-55,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-78awch2
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,N,N,N,N,24.0,9.0,67.0,0.0,0.0,Evans-Al/CMn-1990-78aw
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,391.0,504.0,31.8,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-78ht
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-89,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-78htch1
0.08,0.33,1.41,0.006,0.009,N,N,N,<0.0005,N,N,N,432.0,43.0,61tot34res,78.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-68,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-78htch2
0.08,0.37,1.42,0.006,0.009,N,N,N,<0.0005,N,N,N,439.0,43.0,54totndres,120.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,480.0,543.0,29.0,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-120aw
0.08,0.37,1.42,0.006,0.009,N,N,N,<0.0005,N,N,N,439.0,43.0,54totndres,120.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-86,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-120awch1
0.08,0.37,1.42,0.006,0.009,N,N,N,<0.0005,N,N,N,439.0,43.0,54totndres,120.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-28,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-120awch2
0.08,0.37,1.42,0.006,0.009,N,N,N,<0.0005,N,N,N,439.0,43.0,54totndres,120.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,397.0,518.0,31.0,79.8,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-120ht
0.08,0.37,1.42,0.006,0.009,N,N,N,<0.0005,N,N,N,439.0,43.0,54totndres,120.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-91,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-120htch1
0.08,0.37,1.42,0.006,0.009,N,N,N,<0.0005,N,N,N,439.0,43.0,54totndres,120.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-69,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-120htch2
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,485.0,549.0,31.4,79.8,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-190aw
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-86,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-190awch1
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-58,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-190awch2
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,N,N,N,N,20.0,3.0,77.0,0.0,0.0,Evans-Al/CMn-1990-190aw
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,403.0,519.0,29.1,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-190ht
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-92,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-190htch1
0.076,0.37,1.36,0.005,0.009,N,N,N,<0.0005,N,N,N,422.0,36.0,54tot24res,190.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-74,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-190htch2
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,491.0,564.0,28.2,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-340aw
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-88,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-340awch1
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-63,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-340awch2
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,N,N,N,N,21.0,7.0,72.0,0.0,0.0,Evans-Al/CMn-1990-340aw
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,409.0,528.0,31.0,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-340ht
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-90,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-340htch1
0.078,0.44,1.31,0.005,0.008,N,N,N,<0.0005,N,N,N,431.0,36.0,52tot18res,340.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-74,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-340htch2
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,485.0,560.0,25.2,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-490aw
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-90,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-490awch1
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-55,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-490awch2
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,N,N,N,N,21.0,17.0,62.0,0.0,0.0,Evans-Al/CMn-1990-490aw
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,417.0,528.0,29.0,78.9,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-490ht
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-84,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-490htch1
0.076,0.51,1.3,0.005,0.008,N,N,N,<0.0005,N,N,N,423.0,43.0,50tot17res,490.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-69,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-490htch2
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,491.0,570.0,29.2,77.0,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-610aw
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-74,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-610awch1
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-38,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-610awch2
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,N,N,N,N,19.0,26.0,55.0,0.0,0.0,Evans-Al/CMn-1990-610aw
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,443.0,550.0,29.4,76.0,N,N,N,N,N,N,N,N,N,Evans-Al/CMn-1990-610ht
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-88,28.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-610htch1
0.079,0.57,1.32,0.004,0.008,N,N,N,<0.0005,N,N,N,422.0,38.0,48tot18res,610.0,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,N,N,N,N,-52,100.0,N,N,N,N,N,N,N,Evans-Al/CMn-1990-610htch2
0.073,0.35,0.64,0.005,0.004,N,N,N,0.0003,N,N,N,428.0,38.0,77.0,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,402.0,494.0,33.3,77.5,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-A3aw
0.073,0.35,0.64,0.005,0.004,N,N,N,0.0003,N,N,N,428.0,38.0,77.0,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-45,100.0,N,N,48.0,26.0,26.0,0.0,0.0,Evans-V/Mn-1991-A3awch
0.073,0.35,0.64,0.005,0.004,N,N,N,0.0003,N,N,N,428.0,38.0,77.0,<5,<5,<5,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,329.0,447.0,36.4,80.5,-54,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-A3ht
0.071,0.36,0.63,0.007,0.006,N,N,N,0.021,N,N,N,435.0,43.0,78.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,436.0,513.0,29.2,77.0,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-A210aw
0.071,0.36,0.63,0.007,0.006,N,N,N,0.021,N,N,N,435.0,43.0,78.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-43,100.0,N,N,45.0,14.0,41.0,N,N,Evans-V/Mn-1991-A210awch
0.071,0.36,0.63,0.007,0.006,N,N,N,0.021,N,N,N,435.0,43.0,78.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,398.0,481.0,30.8,76.0,-47,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-A210ht
0.071,0.4,0.64,0.008,0.006,N,N,N,0.0435,N,N,N,411.0,36.0,88.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,478.0,546.0,28.2,78.0,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-A435aw
0.071,0.4,0.64,0.008,0.006,N,N,N,0.0435,N,N,N,411.0,36.0,88.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-43,100.0,N,N,41.0,7.0,52.0,0.0,0.0,Evans-V/Mn-1991-A435awch
0.071,0.4,0.64,0.008,0.006,N,N,N,0.0435,N,N,N,411.0,36.0,88.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,446.0,526.0,N,76.0,-30,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-A435ht
0.074,0.36,0.63,0.008,0.005,N,N,N,0.06,N,N,N,432.0,31.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,488.0,548.0,25.6,77.5,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-A600aw
0.074,0.36,0.63,0.008,0.005,N,N,N,0.06,N,N,N,432.0,31.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-42,100.0,N,N,35.0,6.0,59.0,0.0,0.0,Evans-V/Mn-1991-A600awch
0.074,0.36,0.63,0.008,0.005,N,N,N,0.06,N,N,N,432.0,31.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,458.0,547.0,25.6,76.0,-28,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-A600ht
0.072,0.36,0.64,0.008,0.006,N,N,N,0.0815,N,N,N,436.0,34.0,84.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,490.0,563.0,25.2,77.0,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-A815aw
0.072,0.36,0.64,0.008,0.006,N,N,N,0.0815,N,N,N,436.0,34.0,84.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-40,100.0,N,N,34.0,6.0,60.0,0.0,0.0,Evans-V/Mn-1991-A815awch
0.072,0.36,0.64,0.008,0.006,N,N,N,0.0815,N,N,N,436.0,34.0,84.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,483.0,576.0,25.2,76.0,-22,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-A815ht
0.077,0.35,1.02,0.007,0.005,N,N,N,0.0004,N,N,N,399.0,41.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,443.0,522.0,31.1,77.0,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-B4aw
0.077,0.35,1.02,0.007,0.005,N,N,N,0.0004,N,N,N,399.0,41.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-60,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B4awch
0.077,0.35,1.02,0.007,0.005,N,N,N,0.0004,N,N,N,399.0,41.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,332.0,461.0,33.3,80.3,-80,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B4ht
0.076,0.34,1.01,0.007,0.007,N,N,N,0.0215,N,N,N,426.0,37.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,456.0,534.0,25.0,79.6,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-B215aw
0.076,0.34,1.01,0.007,0.007,N,N,N,0.0215,N,N,N,426.0,37.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-69,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B215awch
0.076,0.34,1.01,0.007,0.007,N,N,N,0.0215,N,N,N,426.0,37.0,75.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,434.0,515.0,29.8,78.9,-67,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B215ht
0.078,0.31,1.04,0.007,0.006,N,N,N,0.044,N,N,N,429.0,32.0,48.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,505.0,570.0,24.8,77.4,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-B440aw
0.078,0.31,1.04,0.007,0.006,N,N,N,0.044,N,N,N,429.0,32.0,48.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-63,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B440awch
0.078,0.31,1.04,0.007,0.006,N,N,N,0.044,N,N,N,429.0,32.0,48.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,478.0,554.0,27.2,78.0,-51,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B440ht
0.076,0.33,1.04,0.007,0.006,N,N,N,0.061,N,N,N,429.0,31.0,70.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,509.0,576.0,25.6,77.4,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-B610aw
0.076,0.33,1.04,0.007,0.006,N,N,N,0.061,N,N,N,429.0,31.0,70.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-59,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B610awch
0.076,0.33,1.04,0.007,0.006,N,N,N,0.061,N,N,N,429.0,31.0,70.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,493.0,569.0,27.0,77.0,-44,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B610ht
0.077,0.32,1.05,0.008,0.006,N,N,N,0.085,N,N,N,400.0,34.0,72.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,538.0,592.0,25.2,74.0,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-B850aw
0.077,0.32,1.05,0.008,0.006,N,N,N,0.085,N,N,N,400.0,34.0,72.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-60,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B850awch
0.077,0.32,1.05,0.008,0.006,N,N,N,0.085,N,N,N,400.0,34.0,72.0,<5,<5,5.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,538.0,609.0,25.4,75.0,-40,100.0,N,N,N,N,N,N,N,Evans-V/Mn-1991-B850ht
0.077,0.31,1.33,0.007,0.005,N,N,N,0.0004,N,N,N,419.0,38.0,80.0,<5,<5,6.0,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,463.0,541.0,27.1,75.9,N,N,N,N,N,N,N,N,N,Evans-V/Mn-1991-C4aw
