AC or DC,Aluminium concentration (%),Boron concentration (%),Carbon concentration (weight%),Chromium concentration (weight%),Copper concentration (weight%),Current (A),Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Manganese concentration (weight%),Molybdenum concentration (weight%),Nickel concentration (weight%),Niobium concentration (%),Nitrogen concentration (%),Oxygen concentration (%),Phosphorus concentration (weight%),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Silicon concentration (weight%),Sulphur concentration (weight%),Titanium concentration (%),Type of weld,Vanadium concentration (weight%),Voltage (V),cluster
0.0,0.0121584132438248,0.0004545983410882,0.043,1.358306689377657,0.0830941423361074,170.0,1.0,1.0,200.0,1.0,0.508989511079383,1.1,0.0078692306400687,0.0082,0.0421,0.013,250.0,14.0,0.33,0.006,0.0128676919356606,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0408272247587618,0.0018074454867394,0.043,0.0781280519063867,0.2363525823431949,170.0,1.0,1.0,200.0,1.0,0.145347700948487,1.1,0.0131544525003886,0.0082,0.0421,0.013,580.0,2.0,0.33,0.006,0.0196634651988258,0.0,0.0243524609946344,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0108921735543631,0.0020359968973803,0.049,6.552546891202515,0.0886173347705875,170.0,1.0,1.0,200.0,1.37,1.018336110584094,1.06,0.0524784709814646,0.0082,0.0421,0.013,250.0,14.0,0.35,0.007,0.0069410438230376,0.0,0.1749505726930765,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0155624196119696,0.0009511762265361,0.049,1.358306689377657,0.2947418041512814,170.0,1.0,1.0,200.0,1.37,0.0457035587768691,1.06,0.0078692306400687,0.0082,0.0421,0.013,580.0,2.0,0.35,0.007,0.0119055363108985,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0224593275740945,0.0017341800098231,0.053,3.646547539415333,0.2749065310254593,170.0,1.0,1.0,200.0,1.83,0.0637382352416259,1.06,0.0202031270651778,0.0082,0.0421,0.012,250.0,14.0,0.35,0.007,0.0173421944780674,0.0,0.115635570016028,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0119726793699694,0.0014187304206731,0.053,1.9424332403954676,0.0464086256174721,170.0,1.0,1.0,200.0,1.83,0.1726670862368716,1.06,0.0252113281661791,0.0082,0.0421,0.012,580.0,2.0,0.35,0.007,0.0139455662378265,0.0,0.0563627332302557,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0264158881245293,0.000294609920902,0.041,1.358306689377657,0.2529335265661895,170.0,1.0,1.0,200.0,0.62,0.0781125646815388,2.38,0.0078692306400687,0.0082,0.0421,0.01,250.0,14.0,0.3,0.007,0.0030218583640332,0.0,0.0610795510167287,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0252543734154687,0.0025275591974602,0.041,2.333159080812297,0.5375921764727873,170.0,1.0,1.0,200.0,0.62,0.80186222789596,2.38,0.036942401222896,0.0082,0.0421,0.01,580.0,2.0,0.3,0.007,0.0187844769659086,0.0,0.1256318743949089,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0069205550420792,0.0016387662460211,0.044,3.141913180919194,0.3660616815184182,170.0,1.0,1.0,200.0,0.96,0.238699276375085,2.38,0.0304445277820862,0.0082,0.0421,0.013,250.0,14.0,0.31,0.006,0.0081377209184675,0.0,0.1237120364712743,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0298940923123976,0.0027660337764385,0.044,1.6750650072157232,0.6333655233203569,170.0,1.0,1.0,200.0,0.96,0.5764448583999404,2.38,0.0189845622270916,0.0082,0.0421,0.013,580.0,2.0,0.31,0.006,0.0216079222719548,0.0,0.202259320314006,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.020026729785304,0.0014523145580014,0.049,0.2717955716154326,0.3877703897944282,170.0,1.0,1.0,200.0,1.41,0.0971594541319889,2.32,0.0056676780027337,0.0082,0.0421,0.014,250.0,14.0,0.32,0.007,0.0156697221503008,0.0,0.0820271652245344,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0168619299385297,0.0010374236637866,0.049,2.4197602745486924,0.2181767867989457,170.0,1.0,1.0,200.0,1.41,0.7562822971471197,2.32,0.0344963532179098,0.0082,0.0421,0.014,580.0,2.0,0.32,0.007,0.0106019392646714,0.0,0.073044785472544,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0277413194189541,0.0033528581289753,0.046,4.013329820830466,0.2517845457840524,170.0,1.0,1.0,200.0,1.81,0.373668868481198,2.33,0.0333145566127373,0.0082,0.0421,0.015,250.0,14.0,0.32,0.007,0.0098409616223538,0.0,0.233835972827319,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0013599612508333,0.0022281285689327,0.046,2.1420891196412715,0.1634278948779879,170.0,1.0,1.0,200.0,1.81,0.8384719915799164,2.33,0.0024064880532991,0.0082,0.0421,0.015,580.0,2.0,0.32,0.007,0.0096283313472055,0.0,0.133625161680306,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0099948748085095,0.0022575788295609,0.037,3.306062951705892,0.0830941423361074,170.0,1.0,1.0,200.0,0.65,0.8752850776558805,3.5,0.027924651188933,0.0082,0.0421,0.011,250.0,14.0,0.3,0.009,0.0117963386543237,0.0,0.160442977138105,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.042212390419378,0.0032372257486195,0.037,1.469313931199161,0.3758271267933378,170.0,1.0,1.0,200.0,0.65,0.8785948561509422,3.5,0.0388748570484784,0.0082,0.0421,0.011,580.0,2.0,0.3,0.009,0.019300489285067,0.0,0.1909077797384023,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0254040912245321,0.0016759114569374,0.041,1.143376256272974,0.6127575766099743,170.0,1.0,1.0,200.0,0.98,0.3247448773321993,3.46,0.0177367349200223,0.0082,0.0421,0.012,250.0,14.0,0.31,0.008,0.0103495068344953,0.0,0.1372018050414654,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0200268099075443,0.0024198626741075,0.041,3.636248478825229,0.5952137285539653,170.0,1.0,1.0,200.0,0.98,1.1244275771267582,3.46,0.0433617794800804,0.0082,0.0421,0.012,580.0,2.0,0.31,0.008,0.0006228360374987,0.0,0.1504393444116153,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0101945918829357,0.0014878069516686,0.048,0.980276583101277,0.2464273527426758,170.0,1.0,1.0,200.0,1.4,0.6176249747239049,3.47,0.0078692306400687,0.0082,0.0421,0.013,250.0,14.0,0.33,0.007,0.0063636440278712,0.0,0.0826839504605606,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0116621040336108,0.0026542633296339,0.048,1.923716206303771,0.3349363668957267,170.0,1.0,1.0,200.0,1.4,0.0789045387867569,3.47,0.0078692306400687,0.0082,0.0421,0.013,580.0,2.0,0.33,0.007,0.0135726805293573,0.0,0.1277540049944067,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0290593703182006,0.0030911069519438,0.051,1.6449468875937725,0.7292583030078261,170.0,1.0,1.0,200.0,1.79,0.7247189305151392,3.42,0.0016158915819831,0.0082,0.0421,0.013,250.0,14.0,0.36,0.007,0.0151284168222649,0.0,0.2304466311680164,21.0,MeilleirResistance/MoindreDuctilite
0.0,0.0128846045248375,0.0017568549819893,0.051,1.1889861441446414,0.155145453956653,170.0,1.0,1.0,200.0,1.79,0.6698634849513059,3.42,0.0012092910693386,0.0082,0.0421,0.013,580.0,2.0,0.36,0.007,0.0149310099652882,0.0,0.0675593566775293,21.0,MeilleirResistance/MoindreDuctilite
0.0,0.0120246923418636,0.0007737474008898,0.074,1.358306689377657,0.02,170.0,1.0,1.0,150.0,1.51,0.4724704287225336,1.2229152457078218,0.0078692306400687,0.0082,0.04,0.011,0.0,0.0,0.36,0.008,0.004,0.0,0.018,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
