Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Sulphur concentration (ppm),Phosphorus concentration (ppm),Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
530.0,3500.0,18300.0,70.0,120.0,10600.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-39.0,100.0
530.0,3500.0,18300.0,70.0,120.0,10600.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,521.0,612.0,26.0,74.0,1.0,100.0
410.0,3000.0,6200.0,70.0,100.0,23800.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,466.0,538.0,30.6,77.8,,
410.0,3000.0,6200.0,70.0,100.0,23800.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-50.0,100.0
410.0,3000.0,6200.0,70.0,100.0,23800.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,431.0,518.0,32.2,76.9,-41.0,100.0
440.0,3100.0,9600.0,60.0,130.0,23800.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,489.0,567.0,30.6,76.9,,
440.0,3100.0,9600.0,60.0,130.0,23800.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-59.0,100.0
440.0,3100.0,9600.0,60.0,130.0,23800.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,481.0,561.0,29.1,76.9,-44.0,100.0
490.0,3200.0,14100.0,70.0,140.0,23200.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,567.0,635.0,23.6,72.7,,
490.0,3200.0,14100.0,70.0,140.0,23200.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-38.0,100.0
490.0,3200.0,14100.0,70.0,140.0,23200.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,530.0,615.0,26.6,73.0,-20.0,100.0
460.0,3200.0,18100.0,70.0,150.0,23300.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,621.0,684.0,23.5,73.9,,
460.0,3200.0,18100.0,70.0,150.0,23300.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-30.0,100.0
460.0,3200.0,18100.0,70.0,150.0,23300.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,574.0,665.0,26.4,70.7,,
370.0,3000.0,6500.0,90.0,110.0,35000.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,479.0,561.0,30.4,76.6,,
370.0,3000.0,6500.0,90.0,110.0,35000.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-26.0,100.0
370.0,3000.0,6500.0,90.0,110.0,35000.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,482.0,560.0,31.4,48.8,-63.0,100.0
410.0,3100.0,9800.0,80.0,120.0,34600.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,525.0,605.0,27.6,76.0,,
410.0,3100.0,9800.0,80.0,120.0,34600.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-48.0,100.0
410.0,3100.0,9800.0,80.0,120.0,34600.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,521.0,599.0,28.4,74.0,-38.0,100.0
480.0,3300.0,14000.0,70.0,130.0,34700.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,621.0,682.0,25.4,72.9,,
480.0,3300.0,14000.0,70.0,130.0,34700.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-18.0,100.0
480.0,3300.0,14000.0,70.0,130.0,34700.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,584.0,677.0,26.6,70.8,56.0,100.0
510.0,3600.0,17900.0,70.0,130.0,34200.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,692.0,753.0,22.2,69.7,,
510.0,3600.0,17900.0,70.0,130.0,34200.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,24.0,100.0
510.0,3600.0,17900.0,70.0,130.0,34200.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,662.0,745.0,24.0,67.5,,
740.0,3600.0,15100.0,80.0,110.0,,,,,200.0,400.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,0.0,0.0,484.0,560.0,26.0,78.8,,
740.0,3600.0,15100.0,80.0,110.0,,,,,200.0,400.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,580.0,2.0,471.0,563.0,31.2,77.0,,
750.0,3600.0,14800.0,70.0,60.0,,,,,1100.0,390.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,0.0,0.0,502.0,578.0,27.6,77.0,,
750.0,3600.0,14800.0,70.0,60.0,,,,,1100.0,390.0,40.0,,,,,170.0,21.0,0.0,1,1.0,150.0,0,580.0,2.0,462.0,548.0,29.8,77.9,,
