Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2)
0.041,0.33,1.01,0.006,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.49,2.8234349943908668,0.06632136007780565,0.15503961781782488,0.12813679469749728,0.012076001734265457,0.025804620625827897,0.0017909205058298364,0.013074139554778453,0.0,1.0,0.0,,,,,,,
0.041,0.33,1.01,0.006,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.49,2.7631113928034208,0.7273475754488898,0.19516973958548986,0.2708290067105231,0.00894120893227044,0.026483040931638606,0.0026310181833289928,0.03174965687385331,0.0,1.0,0.0,426.0,506.0,31.6,79.7,,,
0.051,0.32,1.4,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.47,0.7537991534787871,0.47247042872253364,0.08268322979642562,0.1390187549285548,0.016870734760237698,0.0321424552351372,0.002042221775348639,0.007869230640068782,0.0,1.0,0.0,509.0,568.0,28.6,76.9,,,
0.051,0.32,1.4,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.47,5.767218031645424,0.8022470924635294,0.19063946382947833,0.0179971152764747,0.007445447799735995,0.022206061307551338,0.0026246068356874878,0.032832387806872254,0.0,1.0,0.0,450.0,536.0,28.2,78.8,,,
0.049,0.33,1.85,0.006,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.51,0.6834501425699405,0.47247042872253364,0.04176013267666186,0.2198609675698783,0.0037596262844411003,0.021423132508168876,0.0003606045223251967,0.015400124728063506,0.0,1.0,0.0,547.0,618.0,26.0,74.9,,,
0.049,0.33,1.85,0.006,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.51,1.1271200344638488,0.4042991835422471,0.018,0.08309414233610742,0.018665526020681632,0.016098521931491014,0.0005764686119392984,0.007869230640068782,0.0,1.0,0.0,,,,,,,
0.049,0.33,1.85,0.006,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.51,1.8448733894389733,0.5381334141879105,0.11110837438667444,0.2501179895479938,0.017690218829042245,0.04020916389714512,0.002042420241962465,0.029983654754169354,0.0,1.0,0.0,526.0,612.0,26.8,72.9,,,
0.038,0.31,0.63,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.09,1.753398534387916,0.9863408964389799,0.0036625290973393313,0.26472100815288074,0.026185765200692643,0.007,0.0023566253290910424,0.02463391143659723,0.0,1.0,0.0,423.0,497.0,30.6,78.8,,,
0.038,0.31,0.63,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.09,6.869298242641608,0.8176496542057449,0.17208195321281078,0.14111302609035042,0.0046530661185645635,0.001995181371029044,0.0011419191774237677,0.033903179888132184,0.0,1.0,0.0,,,,,-38.0,100.0,
0.038,0.31,0.63,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.09,1.358306689377657,0.11910910610204445,0.09224221326673275,0.2808030316872786,0.010423890696258858,0.019817389273574414,0.0005198405475240024,0.007869230640068782,0.0,1.0,0.0,411.0,493.0,33.6,79.7,-40.0,100.0,
0.043,0.33,1.0,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.1,1.358306689377657,0.508989511079383,0.018,0.08309414233610742,0.012867691935660624,0.012158413243824807,0.00045459834108824815,0.007869230640068782,0.0,1.0,0.0,475.0,541.0,29.6,77.9,,,
0.043,0.33,1.0,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.1,3.1936122653935985,1.1520549589319449,0.09755764462535031,0.36972987495816834,0.005972921939610263,0.009138746225725913,0.0010683997176987776,0.06028697054073069,0.0,1.0,0.0,,,,,-55.0,100.0,
0.043,0.33,1.0,0.006,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.1,0.07812805190638672,0.14534770094848704,0.02435246099463446,0.23635258234319498,0.01966346519882581,0.04082722475876188,0.0018074454867394033,0.013154452500388623,0.0,1.0,0.0,443.0,521.0,31.8,77.8,-51.0,100.0,
0.049,0.35,1.37,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.06,6.552546891202515,1.018336110584094,0.1749505726930765,0.08861733477058756,0.006941043823037606,0.010892173554363156,0.0020359968973803363,0.05247847098146463,0.0,1.0,0.0,498.0,569.0,28.4,78.8,,,
0.049,0.35,1.37,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.06,1.358306689377657,0.7238290682907513,0.043090355206034735,0.2600204798914518,0.009587389134840849,0.04138573925457036,0.002578591571198602,0.011981597741222174,0.0,1.0,0.0,,,,,-58.0,100.0,
0.049,0.35,1.37,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.06,1.358306689377657,0.04570355877686916,0.018,0.29474180415128143,0.011905536310898598,0.015562419611969636,0.0009511762265361841,0.007869230640068782,0.0,1.0,0.0,470.0,557.0,30.2,76.0,-20.0,100.0,
0.053,0.35,1.83,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.06,3.6465475394153324,0.06373823524162592,0.11563557001602805,0.27490653102545937,0.0173421944780674,0.022459327574094575,0.0017341800098231704,0.020203127065177844,0.0,1.0,0.0,566.0,641.0,26.4,76.0,,,
0.053,0.35,1.83,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.06,0.32380425293788645,0.3769161581347454,0.025724276685839195,0.6282480114891325,0.01896351457060884,0.010504864120715723,0.001961023830434126,0.017176495698993145,0.0,1.0,0.0,,,,,-39.0,100.0,
0.053,0.35,1.83,0.007,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.06,1.9424332403954674,0.17266708623687166,0.05636273323025573,0.04640862561747211,0.013945566237826541,0.011972679369969432,0.001418730420673102,0.025211328166179166,0.0,1.0,0.0,521.0,612.0,26.0,74.0,1.0,100.0,
0.041,0.3,0.62,0.007,0.01,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,2.38,1.358306689377657,0.0781125646815388,0.06107955101672877,0.2529335265661895,0.003021858364033283,0.02641588812452934,0.00029460992090203826,0.007869230640068782,0.0,1.0,0.0,466.0,538.0,30.6,77.8,,,
0.041,0.3,0.62,0.007,0.01,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,2.38,6.573219402529139,0.38004403253445207,0.11430161857085346,0.10452558396030119,0.01014391686458723,0.007,0.002957465041394409,0.05303507515430378,0.0,1.0,0.0,,,,,-50.0,100.0,
