Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.078,0.35,1.02,0.007,0.005,0.0368,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.9031050232909171,2.565090841263066,0.30531951984245376,0.0004,0.11,0.0036,0.0005,0.0005,0.012,0.0,1.0,0.0,480.0,557.0,25.4,75.0,,
0.078,0.35,1.02,0.007,0.005,0.0368,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.2,3.2736370409376807,0.7065797299348711,0.0004,0.05552689053559974,0.0036,0.0005,0.0005,0.012,0.0,1.0,0.0,,,,,-42.0,100.0
0.078,0.35,1.02,0.007,0.005,0.0368,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.2,3.9528753742357274,1.2477867000602751,0.0004,0.06350482392920928,0.0036,0.0005,0.0005,0.012,0.0,1.0,0.0,447.0,540.0,30.4,77.0,-55.0,100.0
0.074,0.34,1.0,0.007,0.006,0.0424,0.0086,170.0,21.0,1.0,200.0,250.0,14.0,0.893020196888457,4.1949152738418745,1.3142447838642626,0.0005,0.5411524081966882,0.0037,0.0005,0.0005,0.0255,0.0,1.0,0.0,513.0,594.0,28.0,76.0,,
0.074,0.34,1.0,0.007,0.006,0.0424,0.0086,170.0,21.0,1.0,200.0,0.0,0.0,0.372921843910975,2.7269662742399454,1.0245250955290957,0.0005,0.29838520099054505,0.0037,0.0005,0.0005,0.0255,0.0,1.0,0.0,,,,,-38.0,100.0
0.074,0.34,1.0,0.007,0.006,0.0424,0.0086,170.0,21.0,1.0,200.0,580.0,2.0,0.2,4.534628240232906,0.524844850274574,0.0005,0.12999108862341144,0.0037,0.0005,0.0005,0.0255,0.0,1.0,0.0,492.0,575.0,25.2,76.0,-41.0,100.0
0.074,0.33,0.99,0.008,0.006,0.0393,0.0088,170.0,21.0,1.0,200.0,250.0,14.0,0.5842289981581614,5.263393994980441,1.2250223231639636,0.0004,0.07590906099228133,0.0037,0.0005,0.0005,0.0465,0.0,1.0,0.0,553.0,618.0,22.8,74.0,,
0.074,0.33,0.99,0.008,0.006,0.0393,0.0088,170.0,21.0,1.0,200.0,0.0,0.0,0.4549852594829579,4.159944206081115,0.5181012679748831,0.0004,0.11,0.0037,0.0005,0.0005,0.0465,0.0,1.0,0.0,,,,,-11.0,100.0
0.074,0.33,0.99,0.008,0.006,0.0393,0.0088,170.0,21.0,1.0,200.0,580.0,2.0,0.35151629800755346,2.91828450718453,0.6157388437735235,0.0004,0.11,0.0037,0.0005,0.0005,0.0465,0.0,1.0,0.0,540.0,616.0,22.4,75.0,-20.0,100.0
0.075,0.34,1.02,0.007,0.006,0.0417,0.0079,170.0,21.0,1.0,200.0,250.0,14.0,2.2893177633002586,8.169728240247826,1.0667942564327813,0.0005,0.11,0.0037,0.0005,0.0005,0.0985,0.0,1.0,0.0,615.0,655.0,20.2,72.9,,
0.075,0.34,1.02,0.007,0.006,0.0417,0.0079,170.0,21.0,1.0,200.0,0.0,0.0,1.0201352070102883,10.032156503214583,2.0068507116602827,0.0005,0.06777092913318786,0.0037,0.0005,0.0005,0.0985,0.0,1.0,0.0,,,,,14.0,100.0
0.075,0.34,1.02,0.007,0.006,0.0417,0.0079,170.0,21.0,1.0,200.0,580.0,2.0,1.019887542581718,13.478557467067336,1.5367762503765543,0.0005,0.2631104536678537,0.0037,0.0005,0.0005,0.0985,0.0,1.0,0.0,603.0,676.0,19.8,70.8,8.0,100.0
0.077,0.31,1.33,0.007,0.005,0.0419,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.8419962655235489,0.7579996054282552,0.8868120094980767,0.0004,0.21484417244081086,0.0038,0.0005,0.0005,0.0006,0.0,1.0,0.0,463.0,541.0,27.1,75.9,,
0.077,0.31,1.33,0.007,0.005,0.0419,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.707138486932908,1.682525047622851,1.0070680272974017,0.0004,0.6792422855324822,0.0038,0.0005,0.0005,0.0006,0.0,1.0,0.0,,,,,-67.0,100.0
0.077,0.31,1.33,0.007,0.005,0.0419,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.988325501029333,1.4841954711243166,0.36431801030445826,0.0004,0.3119189481069428,0.0038,0.0005,0.0005,0.0006,0.0,1.0,0.0,372.0,497.0,31.4,76.4,-81.0,100.0
0.079,0.33,1.37,0.007,0.006,0.0417,0.0097,170.0,21.0,1.0,200.0,250.0,14.0,1.211069688228601,2.9676546047432075,0.7989861447957833,0.0004,0.3013511281718959,0.0034,0.0005,0.0005,0.0105,0.0,1.0,0.0,505.0,586.0,25.8,77.9,,
0.079,0.33,1.37,0.007,0.006,0.0417,0.0097,170.0,21.0,1.0,200.0,0.0,0.0,0.2,1.7272698419425325,0.32533290537400017,0.0004,0.59173782158669,0.0034,0.0005,0.0005,0.0105,0.0,1.0,0.0,,,,,-55.0,100.0
0.079,0.33,1.37,0.007,0.006,0.0417,0.0097,170.0,21.0,1.0,200.0,580.0,2.0,0.6258023890110033,2.559588937965752,0.7737218548273392,0.0004,0.5973228329624098,0.0034,0.0005,0.0005,0.0105,0.0,1.0,0.0,500.0,578.0,24.8,76.0,-61.0,100.0
0.076,0.3,1.36,0.008,0.006,0.037,0.0084,170.0,21.0,1.0,200.0,250.0,14.0,0.2,0.41578477679129566,0.0835429183865738,0.0004,0.7036416641504668,0.0033,0.0005,0.0005,0.0235,0.0,1.0,0.0,540.0,597.0,26.4,76.0,,
0.076,0.3,1.36,0.008,0.006,0.037,0.0084,170.0,21.0,1.0,200.0,0.0,0.0,1.601488076811393,3.347191996695562,0.6452933811715316,0.0004,0.6645459668647209,0.0033,0.0005,0.0005,0.0235,0.0,1.0,0.0,,,,,-45.0,100.0
0.076,0.3,1.36,0.008,0.006,0.037,0.0084,170.0,21.0,1.0,200.0,580.0,2.0,1.1758428330893067,3.953229048936156,1.4361589038196798,0.0004,0.5823567463748952,0.0033,0.0005,0.0005,0.0235,0.0,1.0,0.0,539.0,607.0,25.0,76.0,-41.0,100.0
0.077,0.34,1.39,0.007,0.007,0.0409,0.0099,170.0,21.0,1.0,200.0,250.0,14.0,0.5099593942336724,5.154181127568081,0.8218959750935112,0.0004,0.11,0.0032,0.0005,0.0005,0.0455,0.0,1.0,0.0,586.0,641.0,24.2,76.0,,
0.077,0.34,1.39,0.007,0.007,0.0409,0.0099,170.0,21.0,1.0,200.0,0.0,0.0,1.2591077230416916,4.176802397882399,1.0656702898401145,0.0004,0.22164537313938126,0.0032,0.0005,0.0005,0.0455,0.0,1.0,0.0,,,,,-23.0,100.0
0.077,0.34,1.39,0.007,0.007,0.0409,0.0099,170.0,21.0,1.0,200.0,580.0,2.0,2.0542560277970785,6.766403538540603,1.1233792095955573,0.0004,0.19296817130744337,0.0032,0.0005,0.0005,0.0455,0.0,1.0,0.0,583.0,651.0,22.6,71.9,-27.0,100.0
0.076,0.3,1.36,0.006,0.007,0.0432,0.0091,170.0,21.0,1.0,200.0,250.0,14.0,0.8455850238818952,10.803770536808763,1.0624718253884002,0.0005,0.08218691379814445,0.0033,0.0005,0.0005,0.094,0.0,1.0,0.0,610.0,685.0,20.6,71.9,,
0.076,0.3,1.36,0.006,0.007,0.0432,0.0091,170.0,21.0,1.0,200.0,0.0,0.0,0.5570802668380952,11.654016781359598,2.01544082330111,0.0005,0.04564094683449707,0.0033,0.0005,0.0005,0.094,0.0,1.0,0.0,,,,,,100.0
0.076,0.3,1.36,0.006,0.007,0.0432,0.0091,170.0,21.0,1.0,200.0,580.0,2.0,0.8448037049196359,9.386696743415088,0.9320279530311845,0.0005,0.3495906991497024,0.0033,0.0005,0.0005,0.094,0.0,1.0,0.0,614.0,686.0,19.0,70.8,7.0,100.0
0.076,0.29,1.74,0.008,0.006,0.0415,0.0092,170.0,21.0,1.0,200.0,250.0,14.0,0.2,1.1474793313753615,0.396966291346844,0.0004,0.11,0.0035,0.0005,0.0005,0.0006,0.0,1.0,0.0,500.0,571.0,28.8,77.0,,
0.076,0.29,1.74,0.008,0.006,0.0415,0.0092,170.0,21.0,1.0,200.0,0.0,0.0,0.7380740122230323,1.1474793313753615,0.396966291346844,0.0004,0.6790656278704323,0.0035,0.0005,0.0005,0.0006,0.0,1.0,0.0,,,,,-62.0,100.0
0.076,0.29,1.74,0.008,0.006,0.0415,0.0092,170.0,21.0,1.0,200.0,580.0,2.0,1.0713245369416524,1.390055091599074,0.44291158307839906,0.0004,0.11,0.0035,0.0005,0.0005,0.0006,0.0,1.0,0.0,414.0,518.0,29.2,78.4,-71.0,100.0
0.077,0.32,1.77,0.007,0.006,0.0418,0.0089,170.0,21.0,1.0,200.0,250.0,14.0,0.2,1.1474793313753615,0.4217884860854387,0.0004,0.6314625842241371,0.0031,0.0005,0.0005,0.0125,0.0,1.0,0.0,540.0,614.0,22.0,75.9,,
0.077,0.32,1.77,0.007,0.006,0.0418,0.0089,170.0,21.0,1.0,200.0,0.0,0.0,0.444899742813192,4.430771672092911,1.6071142902733873,0.0004,0.16482284577990766,0.0031,0.0005,0.0005,0.0125,0.0,1.0,0.0,,,,,-54.0,100.0
0.077,0.32,1.77,0.007,0.006,0.0418,0.0089,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.4863340534283782,0.8665068192269956,0.0004,0.11,0.0031,0.0005,0.0005,0.0125,0.0,1.0,0.0,524.0,605.0,24.4,74.0,-61.0,100.0
0.078,0.3,1.76,0.007,0.007,0.0433,0.011,170.0,21.0,1.0,200.0,250.0,14.0,0.853189003583801,2.5631435668509552,0.42335886044943516,0.0004,0.34690860277761937,0.0032,0.0005,0.0005,0.023,0.0,1.0,0.0,575.0,635.0,22.6,74.0,,
0.078,0.3,1.76,0.007,0.007,0.0433,0.011,170.0,21.0,1.0,200.0,0.0,0.0,0.5442138752921358,5.031352884282413,0.8119388275177656,0.0004,0.11,0.0032,0.0005,0.0005,0.023,0.0,1.0,0.0,,,,,-42.0,100.0
0.078,0.3,1.76,0.007,0.007,0.0433,0.011,170.0,21.0,1.0,200.0,580.0,2.0,0.5545997201310781,3.441891475861303,1.1942961437819681,0.0004,0.1123489015303224,0.0032,0.0005,0.0005,0.023,0.0,1.0,0.0,553.0,627.0,22.0,76.8,-31.0,100.0
0.077,0.29,1.77,0.008,0.009,0.0432,0.0097,170.0,21.0,1.0,200.0,250.0,14.0,0.8724432125545274,1.8950692033247445,0.40966558538255815,0.0004,0.5993018912546137,0.0031,0.0005,0.0005,0.045,0.0,1.0,0.0,606.0,660.0,22.0,74.0,,
0.077,0.29,1.77,0.008,0.009,0.0432,0.0097,170.0,21.0,1.0,200.0,0.0,0.0,0.11409224822607456,8.095331666366908,1.4408321985025285,0.0004,0.32292413155269056,0.0031,0.0005,0.0005,0.045,0.0,1.0,0.0,,,,,-26.0,100.0
0.077,0.29,1.77,0.008,0.009,0.0432,0.0097,170.0,21.0,1.0,200.0,580.0,2.0,0.2,6.825852740701838,1.0275602924597058,0.0004,0.12645748160144135,0.0031,0.0005,0.0005,0.045,0.0,1.0,0.0,577.0,661.0,21.6,71.9,-15.0,100.0
0.079,0.29,1.79,0.006,0.007,0.0406,0.0105,170.0,21.0,1.0,200.0,250.0,14.0,0.2,11.106558458217458,1.8329272220280943,0.0004,0.37867185291622274,0.0033,0.0005,0.0005,0.0895,0.0,1.0,0.0,654.0,708.0,19.2,70.8,,
0.079,0.29,1.79,0.006,0.007,0.0406,0.0105,170.0,21.0,1.0,200.0,0.0,0.0,0.2,9.873899452191742,1.0513591358897383,0.0004,0.11,0.0033,0.0005,0.0005,0.0895,0.0,1.0,0.0,,,,,-6.0,100.0
0.079,0.29,1.79,0.006,0.007,0.0406,0.0105,170.0,21.0,1.0,200.0,580.0,2.0,1.483319668774683,14.030961275536903,1.3091619851357055,0.0004,0.11,0.0033,0.0005,0.0005,0.0895,0.0,1.0,0.0,638.0,716.0,17.2,68.6,4.0,100.0
0.062,0.22,1.17,0.007,0.006,0.033,0.012,180.0,34.0,2.0,200.0,250.0,14.0,1.5167953331124198,6.194236361709866,0.6867295853726808,0.30046909516351145,0.4478103000889775,0.022497651307497438,0.011360474717582631,0.0011521966687400179,0.05706344265568812,1.0,0.0,0.0,427.0,512.0,31.4,81.5,,
0.06,0.26,1.2,0.008,0.007,0.032,0.015,180.0,34.0,2.0,200.0,250.0,14.0,0.2,5.947757732218233,1.178572638112867,0.7700223423639417,0.45332732306399315,0.010062422391928567,0.00797471924316176,0.0013775362260072086,0.005967944939540344,1.0,0.0,0.0,440.0,523.0,33.0,81.5,,
0.06,0.25,1.19,0.008,0.007,0.0353,0.011,180.0,34.0,2.0,200.0,250.0,14.0,0.2,3.847189893316532,0.27307171020067034,0.01,0.15500016812846404,0.005689342478419967,0.007641330215113547,0.00011952059959922099,0.010800313000628173,1.0,0.0,0.0,443.0,508.0,30.4,82.4,,
0.062,0.31,1.24,0.008,0.008,0.0366,0.011,180.0,34.0,2.0,200.0,250.0,14.0,0.2,2.3783505323825525,0.45382453561326086,0.4218456032809107,0.38275591426104005,0.01394117622612554,0.009766471587709474,0.0009922658419872648,0.005967944939540344,1.0,0.0,0.0,468.0,531.0,29.6,81.5,,
0.055,0.33,1.39,0.007,0.007,0.0323,0.007,180.0,34.0,1.0,200.0,250.0,14.0,0.9183777026697892,0.5201722772951063,0.396966291346844,0.01,0.6386126811607349,0.00564597662310555,0.0185145316105376,0.0003986183121660134,0.009726849250757274,0.0,1.0,0.0,435.0,510.0,35.6,81.5,,
0.049,0.34,1.39,0.006,0.007,0.0339,0.0065,180.0,34.0,1.0,200.0,250.0,14.0,0.5012201910810985,0.5346607308740545,0.19670427246711797,0.01,0.11,0.001520520494668708,0.009192544088970623,0.0004263491433611038,0.005051829833666258,0.0,1.0,0.0,430.0,505.0,31.2,82.3,,
0.048,0.31,1.34,0.008,0.008,0.0371,0.0075,180.0,34.0,1.0,200.0,250.0,14.0,0.7821352187039712,4.444914315256129,0.549542817427735,0.01,0.3389314775830022,0.04258365249074654,0.03091065289510257,0.002969427003651151,0.02901393980598204,0.0,1.0,0.0,433.0,504.0,31.0,82.3,,
0.048,0.36,1.3,0.007,0.007,0.0401,0.007,180.0,34.0,1.0,200.0,250.0,14.0,0.9790394506450586,5.0070216545614805,0.39309032952793443,0.01,0.271109401640674,0.0077296803676779775,0.00862810037917271,0.0012551526611918851,0.023180469737384447,0.0,1.0,0.0,465.0,526.0,30.4,80.6,,
0.059,0.29,1.49,0.008,0.017,0.0305,0.011,180.0,34.0,1.0,200.0,250.0,14.0,0.2,3.4418810823497616,0.9022932060789385,1.2203175924710072,0.4739307542092266,0.009520137576257727,0.007641330215113547,0.0006816211685081461,0.02980207612810145,0.0,1.0,0.0,442.0,524.0,31.6,80.6,,
0.051,0.31,1.64,0.005,0.016,0.033,0.006,180.0,34.0,1.0,200.0,250.0,14.0,0.31794503427291215,1.1474793313753615,0.396966291346844,0.709396107078552,0.11,0.005976562987250442,0.007641330215113547,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,497.0,559.0,30.0,77.8,,
0.069,0.53,1.17,0.008,0.014,0.0365,0.012,180.0,34.0,1.0,200.0,250.0,14.0,1.1291709507641061,2.093754744801303,0.25245090357602545,0.45523960726342994,0.2293901923193066,0.017752831531702158,0.014747865773368308,0.0015840783349051607,0.004156850540286996,0.0,1.0,0.0,487.0,555.0,31.4,78.8,,
0.068,0.36,1.56,0.006,0.01,0.0396,0.009,180.0,34.0,1.0,200.0,250.0,14.0,1.2674352598881709,5.386406145093087,1.5711527178665903,0.01,0.32342643585644804,0.017865212934223374,0.015015505670633084,0.0017788781788860002,0.04605150231642148,0.0,1.0,0.0,494.0,569.0,28.4,79.6,,
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.5423238117370468,1.9030086125988421,0.4593891627990865,0.01,0.3009449864211111,0.011262688829994085,0.0017273511841269205,0.00185939700774379,0.0008533039944194809,0.0,1.0,0.0,373.0,448.0,34.4,83.0,,
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,3.0697946593737964,0.25713176843960495,0.11557155405232655,0.13017820844079545,0.022638700020639054,0.02388192753014025,0.002572315216790981,0.021606243472305865,0.0,1.0,0.0,,,,,-70.0,9.0
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,0.7129141520895999,0.396966291346844,0.8850696868568297,0.414981075404382,0.002638206723690523,0.036010708951516396,0.0011171934152340475,0.015638243966110472,0.0,1.0,0.0,,,,,-60.0,15.0
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,3.101406043039604,0.4340830561216817,0.44707145270365956,0.1733927993077488,0.02556231751967578,0.02681820011799897,0.0029227595778628006,0.04270494362597348,0.0,1.0,0.0,,,,,-50.0,53.0
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.1474793313753615,0.396966291346844,0.17051955580068856,0.11,0.00834662041017152,0.01159971883110045,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,,,,,-40.0,117.0
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.5138910648949592,1.321528144870065,0.27199692810780035,0.2918113268064995,0.11,0.003716558981407202,0.02293682558926915,0.0009425341619489972,0.02197371649718268,0.0,1.0,0.0,,,,,-20.0,220.0
0.043,0.3,0.69,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.8349531255680733,4.331985184526869,0.5398780774402825,0.01,0.11,0.013682787705031075,0.007641330215113547,0.0011822555575070244,0.02756526204107512,0.0,1.0,0.0,,,,,20.0,222.0
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,0.4943747069307942,0.3516889187705493,0.6171197072327169,0.43472187845844595,0.014340887201504511,0.02155803856956203,0.0011804335133202824,0.030198745949501213,0.0,1.0,0.0,392.0,476.0,34.4,80.6,,
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.15246306249534602,4.192229874727131,0.8576712894008733,0.041007214319689275,0.25786194298683707,0.002623030374093727,0.007641330215113547,0.0006134705638522328,0.020903250580889127,0.0,1.0,0.0,,,,,-70.0,21.0
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.4542282370631527,1.1474793313753615,0.396966291346844,0.01,0.24697274430738264,0.009551604366582651,0.0004655972600293816,0.0008890208263665082,0.01456843774846255,0.0,1.0,0.0,,,,,-60.0,38.0
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.05334698015573058,4.81073635601302,0.4015738268732778,0.09515902517953145,0.813970289770859,0.0038194705840616846,0.007641330215113547,0.002130730714992974,0.03039345736404893,0.0,1.0,0.0,,,,,-50.0,74.0
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.14376834278288048,3.7672256942060836,0.03593093284248314,0.36237730326707046,0.37783502056496787,0.00572539286373572,0.007641330215113547,0.0003098741170264519,0.03190455440516291,0.0,1.0,0.0,,,,,-40.0,182.0
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.260446285437384,0.8646100651435114,0.01,0.11,0.023070592707071687,0.022469802357763122,0.0019948288042108213,0.009761543626214677,0.0,1.0,0.0,,,,,-20.0,220.0
0.042,0.31,0.98,0.006,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.33280046652293416,2.9235713447645724,0.7759946944531907,0.48505440812595146,0.09386914571870289,0.01202834541015401,0.007641330215113547,0.0006112007635731532,0.021578465253152268,0.0,1.0,0.0,,,,,20.0,222.0
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.1474793313753615,0.16796946636789323,0.23910664731661696,0.3328534167328402,0.005689342478419967,0.00030371431576929446,0.0006286175325343884,0.00107619448635415,0.0,1.0,0.0,414.0,502.0,31.0,80.6,,
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.2302206265113593,3.70170768650486,0.35912010353639834,0.30847230888642885,0.303656940974797,0.02434262833114836,0.018285405514231412,0.0038561344906992362,0.02431040938179885,0.0,1.0,0.0,,,,,-70.0,38.0
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,2.5292418022158643,0.40340199272895044,1.1319584509860228,0.5250264474353572,0.005689342478419967,0.012702215176046252,0.0006286175325343884,0.03622515407919591,0.0,1.0,0.0,,,,,-60.0,81.0
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.34030178825603546,5.124221117072067,0.8322352098227296,0.11761603616644628,0.11413163278116564,0.014232116478723782,0.008968564750511443,0.002284872444811059,0.04043502441923606,0.0,1.0,0.0,,,,,-50.0,129.0
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2760096738281149,7.127129290673742,1.3766244069336524,0.9384233055804113,0.06132615920183895,0.011483976395149672,0.007641330215113547,0.0007804683356177361,0.0510603418766406,0.0,1.0,0.0,,,,,-40.0,172.0
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,6.794943168383088,0.5155802864560928,0.01,0.11,0.008957940840044781,0.007641330215113547,0.001369009905981409,0.046166119899602794,0.0,1.0,0.0,,,,,-20.0,220.0
0.045,0.31,1.39,0.005,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.0526287490374262,3.3281377826804595,0.6979308731476593,0.01,0.019145667274496403,0.012952207458407703,0.007641330215113547,0.0013789580534856183,0.0022222122612785677,0.0,1.0,0.0,,,,,20.0,222.0
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.3586341497891388,3.6573520451196635,0.29362249279133823,0.01,0.15834782881096726,0.017057532621803633,0.02645021801998749,0.0010963796716812006,0.026391316814030303,0.0,1.0,0.0,444.0,525.0,29.8,79.9,,
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.212994411653007,5.279237295443428,0.9581483091230046,0.32885252909569535,0.24138861017314076,0.014127212559386077,0.007641330215113547,0.0018618235440507804,0.03431272603125128,0.0,1.0,0.0,,,,,-70.0,36.0
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,2.298198124122743,2.0315764157832237,1.0767186717439579,0.01,0.17298295083932003,0.00821502650540041,0.007641330215113547,0.001305513355912198,0.0270869015099577,0.0,1.0,0.0,,,,,-60.0,76.0
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.9810475425369485,0.7590382300334597,0.01,0.29615813989594986,0.018396312579128573,0.007645522410331871,0.0016281866666799203,0.02896385455763623,0.0,1.0,0.0,,,,,-50.0,117.0
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.7357702666849133,0.38563329832483206,0.396966291346844,0.01,0.2499481981354862,0.006971301638761897,0.007641330215113547,0.0009137811009143416,0.005967944939540344,0.0,1.0,0.0,,,,,-40.0,153.0
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.44604452439112174,3.6357123287263815,0.889851357327147,0.5774230061613586,0.43076575527070116,0.03649682209205819,0.017688357233714713,0.003383896751885619,0.03077704993155713,0.0,1.0,0.0,,,,,-20.0,203.0
0.045,0.29,1.83,0.005,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.0985983564396546,1.1474793313753615,0.6066392686365433,0.14480617513317942,0.06409400788867611,0.005689342478419967,0.0018124405127635124,0.0005447372770694349,0.005967944939540344,0.0,1.0,0.0,,,,,20.0,222.0
0.058,0.33,0.63,0.007,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.1474793313753615,0.16649699647188607,0.21598269702405304,0.11,0.01480502879577888,0.01249317014007097,0.001243628456767868,0.0042355602508613085,0.0,1.0,0.0,386.0,465.0,33.4,78.8,,
0.058,0.33,0.63,0.007,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,3.43829198803808,0.2918476193834475,0.01,0.4503250649400341,0.020611939650762568,0.007641330215113547,0.0031764715161107333,0.035803463106939534,0.0,1.0,0.0,,,,,-60.0,13.0
0.058,0.33,0.63,0.007,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,3.094611312524319,0.8664384563049744,0.18297158527750498,0.11,0.007811774685973745,0.01045161596271031,0.0004123058860543094,0.02975602091839408,0.0,1.0,0.0,,,,,-50.0,27.0
0.058,0.33,0.63,0.007,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,1.6299535677652117,1.1690187491446964,0.31204215988198236,0.06956834967459838,0.02133707031619573,0.03272900689127389,0.0023061911577331702,0.033106332065175235,0.0,1.0,0.0,,,,,-40.0,78.0
0.058,0.33,0.63,0.007,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.432350851645939,0.9982373092811918,0.5420543143848165,0.0396050319907235,0.7808203117111634,0.005689342478419967,0.007641330215113547,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,,,,,-20.0,178.0
0.058,0.33,0.63,0.007,0.007,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.5257148108453051,0.5353889639001155,0.13320896664039045,0.7072625445747939,0.10057554053634851,0.020776731674413827,0.01854912283495503,0.00119579330962318,0.006583703431245184,0.0,1.0,0.0,,,,,20.0,220.0
0.065,0.34,0.97,0.007,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.7227395241889132,1.1474793313753615,0.014881255316877636,0.35043358201622876,0.42556370738788013,0.005689342478419967,0.005567922009262076,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,418.0,500.0,35.0,80.6,,
0.065,0.34,0.97,0.007,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.9453400769221294,0.497425135270648,1.0319940362340527,0.5527900916921206,0.11,0.005689342478419967,0.03245560389119341,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,,,,,-70.0,15.0
0.065,0.34,0.97,0.007,0.008,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2,0.6965287848309085,0.0034800255438871552,0.01,0.14669685331629517,0.03247891178161962,0.028987601852125837,0.0031441064204028894,0.03396828897074731,0.0,1.0,0.0,,,,,-60.0,45.0
