Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.041,0.33,1.01,0.006,0.011,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.49,1.1474793313753615,0.27506525054506875,0.09816787026424069,0.43793290945706814,0.0035584065206305396,0.015811932121971052,0.0009888612908831678,0.005967944939540344,0.0,1.0,0.0,,,,,,
0.041,0.33,1.01,0.006,0.011,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.49,4.486134316984836,0.5457548700248195,0.282088990868945,0.1809134182357432,0.005689342478419967,0.041519071354004684,0.000297528479894734,0.02045967989594901,0.0,1.0,0.0,426.0,506.0,31.6,79.7,,
0.051,0.32,1.4,0.007,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.47,0.6610286167753183,0.8692853399945478,0.01,0.2776513756167539,0.001958754273158878,0.007641330215113547,0.0006286175325343884,0.005967944939540344,0.0,1.0,0.0,509.0,568.0,28.6,76.9,,
0.051,0.32,1.4,0.007,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.47,4.12903291460252,0.1993936727033696,0.6211639396309554,0.24459792675241787,0.005689342478419967,0.010452451770540862,0.0006286175325343884,0.02548894291953655,0.0,1.0,0.0,450.0,536.0,28.2,78.8,,
0.049,0.33,1.85,0.006,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.51,2.4574954376862785,0.46160614686216905,0.6759431780415257,0.47504506066327207,0.0035053718670144582,0.00023026873440441277,0.0002375236526090392,0.0035069403267419044,0.0,1.0,0.0,547.0,618.0,26.0,74.9,,
0.049,0.33,1.85,0.006,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.51,1.6158084552714362,0.47146143677810654,0.16122783793893747,0.4558029848064557,0.014625613770541742,0.034797104225409436,0.0004876372418103033,0.005550402623701462,0.0,1.0,0.0,,,,,,
0.049,0.33,1.85,0.006,0.014,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.51,1.1474793313753615,0.396966291346844,0.09835525850239689,0.3869202975658313,0.030853628134806972,0.03251620103202935,0.0026177195439955523,0.005967944939540344,0.0,1.0,0.0,526.0,612.0,26.8,72.9,,
0.038,0.31,0.63,0.007,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,1.09,0.1901169403415991,0.14022856672617665,0.33635142388007394,0.04040308469184287,0.013724165483971745,0.013772336863029562,0.0022739369177175684,0.012427782607800041,0.0,1.0,0.0,423.0,497.0,30.6,78.8,,
0.038,0.31,0.63,0.007,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,1.09,1.1474793313753615,0.396966291346844,0.01,0.4117678479882494,0.028971454907993244,0.01585988476963224,0.0016381930260865765,0.005967944939540344,0.0,1.0,0.0,,,,,-38.0,100.0
0.038,0.31,0.63,0.007,0.012,0.0423,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.09,1.0660628026464674,0.8787683410920744,0.01,0.23992258326690422,0.001084328247890988,0.007641330215113547,0.000563213467019404,0.019979840833732623,0.0,1.0,0.0,411.0,493.0,33.6,79.7,-40.0,100.0
