Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),target
0.066,0.23,0.79,0.015,0.015,0.0796,0.007,285.0,32.0,2.9,200.0,200.0,14.0,0.03,0.11,0.4724704287225336,0.013,0.1579210269282674,0.031,0.021,0.0016,0.007,0.0,1.0,2.0,,498.0,,,,,,-1
0.091,0.18,0.99,0.008,0.015,0.0695,0.0509,180.0,34.0,1.0,175.0,750.0,8.0,0.0,8.94,0.97,0.18,0.1177033647879978,0.0173517481776109,0.007,0.0019092375184154,0.044,0.0,1.0,0.0,492.0,673.0,21.8,65.3,,,,-1
0.1,0.4,0.98,0.004,0.008,0.041,0.042,145.0,21.0,1.2,200.0,750.0,2.0,0.17,8.7,0.98,0.22,0.03,1e-06,1e-06,0.0015105854375381,0.03,0.0,1.0,0.0,,,,,40.0,52.0,,-1
0.048,0.33,1.85,0.007,0.013,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.2093809962655812,0.26,0.4869736093921512,0.0505700683479193,0.243547766673721,0.0160095306798767,0.0212342713631237,0.0011947453431043,0.0078692306400687,0.0,1.0,0.0,567.0,622.0,26.0,75.0,,,,-1
0.147,0.36,1.02,0.007,0.007,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,3.0263647042334743,0.4282907821450553,0.1585989596925647,0.175959655660521,0.0078873904706198,0.0281229320964744,0.0012226806759316,0.0236379090809629,0.0,1.0,0.0,482.0,576.0,29.4,76.9,-40.0,98.0,,-1
0.076,0.51,1.3,0.005,0.008,0.0423,0.005,170.0,21.0,1.0,200.0,250.0,14.0,0.2128340265879234,1.358306689377657,0.4724704287225336,0.0005,0.2130013882545788,0.0043,0.049,0.0005,0.0005,0.0,1.0,0.0,485.0,560.0,25.2,78.9,,,,-1
0.048,0.13,1.06,0.014,0.016,0.0768,0.0266,300.0,28.0,1.96,150.0,690.0,10.0,0.23,2.02,1.3,0.02,0.3072612042241865,0.0211228756634512,0.0106064321282845,0.0014131181192287,0.0384196783576846,0.0,1.0,2.0,506.0,598.0,22.0,70.0,-60.0,6.0,,-1
0.065,0.33,1.83,0.003,0.01,0.0291,0.0076,180.0,23.0,1.0,250.0,0.0,0.0,0.3760552454020237,1.358306689377657,0.4633420339071791,0.0212480087567061,0.4934056935788947,0.009,0.007,0.0010084261174721,0.0235176279322112,0.0,1.0,0.0,496.0,,,,-40.0,121.0,,-1
0.045,0.29,1.83,0.005,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,0.84346713012681,0.4176999218575882,0.018,0.3434984868401221,0.0005814191238248,0.0101165831114396,0.0006985636821117,0.014382096026355,0.0,1.0,0.0,444.0,525.0,29.8,79.9,-70.0,36.0,,-1
0.045,0.33,1.85,0.007,0.016,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.2128340265879234,0.0,0.1357996923626836,0.018,0.0237430808769645,0.0047461780704402,0.0034993919663992,0.0001039213913056,0.0078692306400687,0.0,1.0,0.0,479.0,576.0,27.4,76.9,-38.0,100.0,,-1
