Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Sulphur concentration (ppm),Phosphorus concentration (ppm),Oxygen concentration (ppm),Nitrogen concentration (ppm),Current (A),Voltage (V),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),AC or DC,Electrode positive or negative,Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Titanium concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.119205298013245,0.4935064935064934,0.3686868686868687,0.23125,0.0,2,0.4827586206896552,0.28,0.6592505854800936,0.5433962264150943,0.2356687898089171,0.2598425196850393,0.9078947368421052,0.4166666666666666,0.0,1.0,0.4683917474611128,0.5771597797225908,0.7430512950605199,0.4574010223345385,0.4773526960353853,0.6613660160305164,0.645716629475639,0.4179483522439113,0.5111966717827341,0.4175064896049654,0.3229891823095256,0.2063864077633023,0.0845669928332721,0.6096314647714086,0.7014594795224468
0.2582781456953642,0.3636363636363636,0.5606060606060606,0.0625,0.0,4,0.1034482758620689,0.06,0.2857142857142857,0.2,0.0700636942675159,0.1496062992125983,0.0,0.0,0.0,1.0,0.4827810524651092,0.4771445473043789,0.4718549335784294,0.6184991706239105,0.4758478407579708,0.5193351065339162,0.7803476790163899,0.596980446552152,0.3188298556600125,0.5909060372491279,0.412766538647025,0.5923632423955459,0.4551933448762795,0.2711087506278645,0.5212085992341127
0.3642384105960264,0.3376623376623376,0.1363636363636363,0.28125,0.0,1,0.1379310344827586,0.12,0.6182669789227166,0.169811320754717,0.0700636942675159,0.1496062992125983,0.9078947368421052,0.0970833333333333,0.0,1.0,0.4258414630122353,0.5723487026271461,0.7465685577756032,0.4742403943173829,0.4500140677914181,0.5854039830911939,0.2541275308704157,0.4284790681576851,0.3803971161998167,0.4068603941147168,0.3650633009230579,0.4970992233868663,0.6282119467614499,0.3060917432068417,0.3670494899066777
0.1059602649006622,0.3506493506493506,0.5656565656565655,0.0625,0.0,0,0.1379310344827586,0.1,0.3395784543325527,0.2339622641509434,0.0700636942675159,0.1496062992125983,0.763157894736842,0.0833333333333333,0.0,1.0,0.3260195585663327,0.493941353614861,0.3491479544484726,0.3482909938149287,0.6036910319038142,0.2094479501361169,0.374813115308185,0.2600300454378157,0.2965890482419948,0.230439383133453,0.1725423339338647,0.7601251041891385,0.7683515348851578,0.2741585048093379,0.602884779364764
0.3178807947019868,0.4025974025974025,0.3787878787878788,0.0625,0.0,0,0.2068965517241379,0.06,0.3126463700234192,0.2037735849056604,0.0700636942675159,0.1496062992125983,0.763157894736842,0.0833333333333333,0.0,1.0,0.4781114733101138,0.4774545747702634,0.4674079819289983,0.4232337879627599,0.7109350514041326,0.4723135408687559,0.3414350726074089,0.4942916555664851,0.3019813962004224,0.1057279788191115,0.1202684289897791,0.8238050542781096,0.7647272351923033,0.1826658793651368,0.5212085992341127
0.3112582781456954,0.4285714285714285,0.5505050505050506,0.0625,0.0,0,0.1379310344827586,0.1399999999999999,0.3395784543325527,0.1245283018867924,0.0700636942675159,0.1496062992125983,0.763157894736842,0.0833333333333333,0.0,1.0,0.5456403985355662,0.4839016022721899,0.4956277453086034,0.4234279199762359,0.5435256452064456,0.4657827678597058,0.5219306453001932,0.4942916555664851,0.3019813962004224,0.2137098045059194,0.1942168798862904,0.7075199280286841,0.747813836625649,0.2009644044539771,0.5212085992341127
0.8675496688741723,0.1038961038961038,0.3888888888888889,0.421875,0.0,1,0.896551724137931,0.1999999999999999,0.3372365339578454,0.1735849056603773,0.6815286624203821,0.3385826771653543,0.7894736842105263,0.03125,0.0,1.0,0.4229836080865645,0.4558137240930435,0.430014913418116,0.4321638605826566,0.4533545316712532,0.484068932285046,0.4243654708716611,0.5216466633455639,0.3335500767742727,0.2167515460745619,0.2490407314130144,0.6216904300826794,0.5194829559758143,0.39767834298316,0.7064140540976086
0.337748344370861,0.3116883116883117,0.6111111111111112,0.0625,0.0,0,0.2068965517241379,0.0799999999999999,0.3559718969555035,0.2754716981132075,0.0700636942675159,0.1496062992125983,0.3289473684210526,0.5833333333333333,0.0,0.0,0.4144100433095519,0.5119429568732305,0.3772559726918681,0.4234279199762359,0.4305280284923803,0.4252919752035955,0.3414350726074089,0.4942916555664851,0.3019813962004224,0.4676952254875663,0.3714381673796538,0.4001949515123449,0.6233795471709771,0.365651130253539,0.5212085992341127
0.3245033112582781,0.3116883116883117,0.1868686868686868,0.0625,0.0,0,0.2413793103448275,0.1,0.4098360655737704,0.2792452830188679,0.0700636942675159,0.1496062992125983,0.3289473684210526,0.5833333333333333,0.0,0.0,0.4144100433095519,0.5696758820185658,0.3772559726918681,0.4234279199762359,0.4305280284923803,0.4736196954705659,0.3414350726074089,0.4942916555664851,0.3019813962004224,0.5102796074485612,0.4058624462452711,0.4001949515123449,0.6233795471709771,0.4510442473347934,0.5212085992341127
0.5364238410596026,0.1298701298701299,0.2323232323232323,0.359375,0.0,1,0.0344827586206896,0.06,0.1428571428571428,0.0188679245283018,0.4904458598726114,0.2755905511811023,0.9078947368421052,0.3333333333333333,1.0,0.0,0.440395640823665,0.5776943438443068,0.7395340323454367,0.946613696294096,0.4444380524844791,0.8825502288150202,0.554245570749909,0.1180519304080007,0.4387790120204402,0.5617002211360678,0.4734360306851867,0.4350900570836262,0.6173707744640676,0.3046560466240716,0.2874457388601795
0.5364238410596026,0.2857142857142857,0.5909090909090909,0.421875,0.0,1,0.2413793103448275,0.1999999999999999,0.3255269320843091,0.4679245283018868,0.6815286624203821,0.3385826771653543,0.0,0.0,0.0,1.0,0.4363202644063619,0.4577381549312213,0.3807732354069513,0.6262958740586715,0.472840570970291,0.484068932285046,0.5024176104144867,0.0792612120876583,0.3335500767742727,0.478341320977815,0.4453866182761651,0.6216904300826794,0.531563954951996,0.2974367920167372,0.2795759405264023
0.5695364238410596,0.2857142857142857,0.6212121212121212,1.0,0.0,1,0.3103448275862069,0.24,0.3782201405152225,0.2981132075471698,0.9363057324840764,0.3700787401574803,0.0,0.0,0.0,1.0,0.433462409480691,0.4574174164581917,0.380421509135443,0.4321638605826566,0.6642632078088587,0.4252919752035955,0.2762834928936606,0.5084197002634028,0.4177332249712067,0.3080037931338362,0.2605154910348868,0.6325430701162247,0.6402929457376315,0.5437934429216308,0.7519118694895794
0.0927152317880794,0.3376623376623376,0.2121212121212121,0.0625,0.0,0,0.1724137931034483,0.1,0.3395784543325527,0.2339622641509434,0.0700636942675159,0.1496062992125983,0.763157894736842,0.0833333333333333,0.0,1.0,0.2067536821409345,0.2564693783538024,0.4007391874928351,0.2399192085958535,0.6051540091422876,0.7145312224833669,0.5073842973156497,0.2617949607283663,0.1383637826299357,0.1680836809762823,0.1036937762026301,0.8542606825815305,0.797345932427994,0.365651130253539,0.8591789997747391
0.4039735099337749,0.3116883116883117,0.6313131313131313,0.28125,0.0,1,0.4827586206896552,0.86,0.3395784543325527,0.3358490566037736,0.0700636942675159,0.1496062992125983,0.7894736842105263,0.0875,0.0,1.0,0.4144100433095519,0.4547445958496113,0.5531191084460276,0.4321638605826566,0.4862024264896312,0.5232535703393463,0.4585132819216473,0.308897981138216,0.3335500767742727,0.4556803462914285,0.3492536321107005,0.6632208323146171,0.5980094493209955,0.4376441940405932,0.5603581818857784
0.1456953642384106,0.3896103896103896,0.7828282828282829,0.0625,0.0,0,0.1724137931034483,0.3,0.3021077283372365,0.260377358490566,0.0700636942675159,0.1496062992125983,0.6578947368421052,0.0833333333333333,0.0,1.0,0.6077853848791096,0.4240732514807996,0.4629545281550783,0.3214763328483006,0.5036398662314193,0.5817648584362742,0.4831115012505378,0.4731636655778857,0.4004970399736529,0.3292959841143336,0.2668903574914826,0.6604521388324879,0.7236518386732855,0.3168550633499651,0.5212085992341127
0.4701986754966888,0.1948051948051948,0.1313131313131313,0.21875,0.0,5,0.2068965517241379,0.1,0.1030444964871194,0.2339622641509434,0.4904458598726114,0.3228346456692913,0.9078947368421052,0.4166666666666666,0.0,1.0,0.4779179305466823,0.5990769087129495,0.7395340323454367,0.4391464323692121,0.3168836346638152,0.6883630237344254,0.4829045755287803,0.3300296275756409,0.5131042723637941,0.2943159560749451,0.2872899301525892,0.7047512345465549,0.605320427255788,0.4266462138830064,0.909874559855833
0.3112582781456954,0.2727272727272727,0.6111111111111112,0.0625,0.0,0,0.2413793103448275,0.0799999999999999,0.3337236533957845,0.2264150943396226,0.0700636942675159,0.1496062992125983,0.3289473684210526,0.5833333333333333,0.0,0.0,0.7160725076859217,0.4547445958496113,0.3772559726918681,0.4234279199762359,0.4305280284923803,0.4618643040542758,0.3414350726074089,0.4942916555664851,0.3019813962004224,0.3581925290164371,0.2350160252085036,0.6549147518682296,0.747813836625649,0.1399693208245097,0.3184263589097369
0.1456953642384106,0.3506493506493506,0.6919191919191919,0.0625,0.0,0,0.1379310344827586,0.28,0.2318501170960187,0.1471698113207547,0.0828025477707006,0.3543307086614172,0.3289473684210526,0.5833333333333333,0.0,1.0,0.6364153685757727,0.6029096148322182,0.8731819724507862,0.5995993405724729,0.6449713235793234,0.609522746956355,0.3865655490033729,0.3232961924140909,0.7371370214697273,0.3566716582321159,0.2452158115390569,0.7324381693678467,0.734524737751849,0.5633177152597124,0.7977300007472966
0.4370860927152318,0.5324675324675324,0.8131313131313131,0.625,0.0,3,0.6551724137931035,0.4,0.3430913348946136,0.2377358490566037,0.6496815286624203,1.0,0.0,0.0,0.0,1.0,0.7722645752885907,0.4354882975100839,0.5320155321555285,0.4418704612564574,0.5752814632852326,0.4796968649120471,0.4865852808363246,0.7919110806087701,0.4610132773574839,0.7368893543124257,0.4849107903070591,0.5940034952613876,0.5436449539281777,0.4266462138830064,0.3550398189683047
0.119205298013245,0.4935064935064934,0.3686868686868687,0.23125,0.0,2,0.4827586206896552,0.28,0.6592505854800936,0.5433962264150943,0.2356687898089171,0.2598425196850393,0.9078947368421052,0.4166666666666666,0.0,1.0,0.4683917474611128,0.5771597797225908,0.7430512950605199,0.4574010223345385,0.4682666191705726,0.7176892039738318,0.3108979801499685,0.4593485439736469,0.6043732415291712,0.4175064896049654,0.3229891823095256,0.2063864077633023,0.0845669928332721,0.2436609629946042,0.2649143788241377
0.3178807947019868,0.7792207792207793,0.5858585858585859,0.36328125,0.0,1,0.4137931034482758,0.3,0.6018735362997658,0.2037735849056604,0.6815286624203821,0.2913385826771653,0.2631578947368421,0.0416666666666666,0.0,1.0,0.4144100433095519,0.4547445958496113,0.3772559726918681,0.4224572599088559,0.4305280284923803,0.6805477301057004,0.658521889500138,0.7431330471863475,0.2984737650255502,0.3855682031342194,0.3140643692702916,0.6050782691899043,0.5074019569996325,0.4929474658167664,0.6999265296865297
0.304635761589404,0.3766233766233766,0.1767676767676768,0.0625,0.0,0,0.2068965517241379,0.06,0.3477751756440281,0.2415094339622641,0.0700636942675159,0.1496062992125983,0.0,0.0,0.0,1.0,0.5306991128308958,0.5364733638994942,0.5826376615711873,0.4230396559492839,0.6644631551447923,0.4736196954705659,0.3414350726074089,0.4942916555664851,0.4528095367199292,0.3434476155864603,0.2722541697234752,0.7431312167806445,0.6524317232878081,0.3595516218905923,0.5212085992341127
0.0794701986754966,0.3506493506493506,0.3585858585858586,0.0625,0.0,0,0.2413793103448275,0.1999999999999999,0.3395784543325527,0.2339622641509434,0.0700636942675159,0.1496062992125983,0.763157894736842,0.0833333333333333,0.0,1.0,0.9288239299303088,0.5156813405896662,0.3648593281154733,0.4662190270111357,0.6404947658139888,0.4772781827931555,0.3513985509764834,0.6066876716095067,0.4185095558127943,0.3931725570558257,0.2962147431918233,0.6881390736537797,0.6886169416423585,0.3107555549870184,0.5212085992341127
0.4039735099337749,0.4285714285714285,0.3838383838383838,0.109375,0.0,0,0.1034482758620689,0.16,0.3957845433255268,1.0,0.0828025477707006,0.1811023622047244,0.9736842105263158,0.3333333333333333,0.0,1.0,0.4302870151188345,0.9251610229597506,0.7395340323454367,0.9077872935988928,0.4360954682921054,0.5493766623755465,0.4341219883145143,0.144909487352379,0.8596947530051101,0.482604357009416,0.4212847329411355,0.5300530019996817,0.4763567497063169,0.5028440837896776,0.3939645297369322
0.2715231788079471,0.0519480519480519,0.3585858585858586,0.2249999999999999,0.0,2,0.3103448275862069,0.16,0.8887587822014051,0.2867924528301887,0.2356687898089171,0.2598425196850393,0.9078947368421052,0.4166666666666666,0.0,1.0,0.500145691079678,0.5653993690448373,0.7536030832057694,0.4515770619302581,0.5262240316658836,0.4543044933050642,0.4849418510117549,0.678397940787363,0.5649251939005666,0.2699820235258053,0.2209913190039928,0.5663165604400958,0.6040499488090864,0.365651130253539,0.3606726589773151
0.3245033112582781,0.5194805194805194,0.5252525252525253,0.0625,0.0,0,0.1379310344827586,0.12,0.3501170960187353,0.1169811320754717,0.0700636942675159,0.1496062992125983,0.3289473684210526,0.5833333333333333,0.0,1.0,0.5610406393439079,0.2608345173432889,0.3189469509675916,0.4234279199762359,0.5635970547545592,0.4657827678597058,0.6682784069429912,0.4942916555664851,0.3019813962004224,0.3475464335261884,0.2515906779956527,0.6826016866895214,0.747813836625649,0.1302680106485188,0.1223742724284267
