Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Titanium concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),Tin concentration (%),Arsenic concentration (%),Antimony concentration (%),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),AC or DC,Electrode positive or negative,Type of weld,Weld ID
0.049,0.33,1.85,0.006,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.51,4.988067736891606,-0.5051314161971416,0.1520389388448326,0.8893984513697715,-0.013555793658109355,0.0009437475030965454,0.007438121331663163,-0.0033702367464267407,-0.0036255812570119453,0.013303463219923133,724.1388892839012,794.7591563665383,19.987050384827715,57.444128363638185,-20.481732983766687,79.16694930493709,235.5184940218337,8.0,24.0,68.0,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Dawmic
0.049,0.33,1.85,0.006,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.51,-0.9062367407407754,0.5560498214812319,0.000800128725523399,0.31360880857320084,0.033884833453818916,0.0006020378352928655,0.006947273110438374,0.001985958451906672,-0.004499523631299118,0.017889694521332475,526.0,612.0,26.8,72.9,-102.3366866043013,87.5179535654954,174.31260330019853,19.590919527424848,1.2168476029345001,67.24405282132409,0.0,1,0,Evans-Ni/CMn-1990/1991-0.5Dht
0.038,0.31,0.63,0.007,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,1.09,-7.481561616433645,-0.46073871058543553,-0.33834398026821116,0.5340601669954996,0.03514993364429097,-0.00020743061017110801,0.001090860421157025,0.01600380343264275,0.016301444255995664,0.001971498591145068,423.0,497.0,30.6,78.8,18.278356897999267,223.1464353437551,175.29630386451208,-22.674052984385778,25.107035790584895,83.02887213109507,0.0,1,0,Evans-Ni/CMn-1990/1991-1Aaw
0.038,0.31,0.63,0.007,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,1.09,3.2156324178197,1.543888221886506,0.2924636405274338,-0.06371513690678113,0.010407110752326892,0.002399749149654994,0.01178138086150974,0.0059554696234487186,0.011203480687571064,-0.00809341698289258,524.6611156647383,626.4905124450578,22.932804536070318,70.58417586368003,-38.0,100.0,215.47695676479321,50.324987094990945,57.161142460069826,-21.597863983510237,0.0,1,0,Evans-Ni/CMn-1990/1991-1Aawch
0.038,0.31,0.63,0.007,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,1.09,1.4434858318057788,0.9070371334276586,-0.029973567627561103,-0.20990794815924207,-0.002991560898305462,-0.0007392807121076844,0.015522092174833652,-0.00758248409839098,-0.002251404252356452,0.006039714159037841,411.0,493.0,33.6,79.7,-40.0,100.0,172.31399584290963,-4.504562760076748,53.2621476126251,45.81478295438348,0.0,1,0,Evans-Ni/CMn-1990/1991-1Aht
0.043,0.33,1.0,0.006,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,1.1,5.782198361822954,1.0844400608674098,0.07153179668862332,0.2986898343832368,0.006008087306836063,0.00044969516476309115,0.013450949889853552,-0.0043115542748977075,-0.0013983968282710996,-0.0036482093891885845,475.0,541.0,29.6,77.9,-53.04351553670384,128.23007698800296,233.850059593406,-36.53916357330833,30.392899852987636,128.29165281596332,0.0,1,0,Evans-Ni/CMn-1990/1991-1Baw
0.043,0.33,1.0,0.006,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,1.1,3.394851291461839,1.6723155599005597,-0.035504214972363515,-0.027002511619859004,0.03433365006388821,0.0005529124921946257,0.03348696857099176,0.008014155560860613,0.014566253863134012,0.0050443431246481,551.9901041669696,676.053177261071,26.526670810055105,59.9566600908833,-55.0,100.0,289.6344485201239,20.0,42.0,38.0,0.0,1,0,Evans-Ni/CMn-1990/1991-1Bawch
0.043,0.33,1.0,0.006,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,1.1,-0.3724889141739004,0.5189857319343678,-0.06132474478741449,0.19837020876772238,0.012028691141299626,-7.263630153901465e-05,-0.03195419495523001,0.00807446116819899,0.011390191047124895,-0.005338978870421387,443.0,521.0,31.8,77.8,-51.0,100.0,167.43228985328895,28.46142063277407,4.78853056439393,66.99360833969651,0.0,1,0,Evans-Ni/CMn-1990/1991-1Bht
0.049,0.35,1.37,0.007,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,1.06,-0.44796038282376194,-0.4713617911581816,0.1163471202751142,0.4831399788104203,0.016787651731561323,0.0005823615293784478,-0.003847202834854277,0.0006666993792230453,-0.002659199820842316,0.01996066519701531,498.0,569.0,28.4,78.8,-72.02735381640677,181.8037613610589,282.9837192353721,19.778042044958994,33.09426987930789,28.587562751917357,0.0,1,0,Evans-Ni/CMn-1990/1991-1Caw
0.049,0.35,1.37,0.007,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,1.06,-2.1908296976404675,0.02609681354578446,-0.169691238074053,-0.13079099312539738,0.004054090326826837,-0.000463764457012168,-0.0624935398478041,-0.006171925361124266,0.003234426884136202,-0.01609750291910436,368.29856007065564,407.63214317772804,34.76419877086789,91.1642824683536,-58.0,100.0,217.8165403435346,42.46235691281784,87.26968226275142,-48.58365088585563,0.0,1,0,Evans-Ni/CMn-1990/1991-1Cawch
0.049,0.35,1.37,0.007,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,1.06,3.9875545569130546,0.07605231453583727,0.10914259376901822,0.8095458902790744,0.018688418249204496,0.0006055801646097203,-0.009218429792580328,0.010699290083521778,0.0009908624101490045,0.0031152635954454066,470.0,557.0,30.2,76.0,-20.0,100.0,202.24764309771814,-3.111383416675384,-21.84530879376523,124.78194930470312,0.0,1,0,Evans-Ni/CMn-1990/1991-1Cht
0.053,0.35,1.83,0.007,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,1.06,0.8691879593137135,1.4064462888690326,-0.15329499347886322,-0.09554376209035748,0.02694100078942253,0.00014479364177817533,-0.012628499708320357,0.011223182770394476,-0.003565402359771652,0.010124290909678375,566.0,641.0,26.4,76.0,-65.43704700220846,124.4242396376736,126.55084479591312,34.42642902035724,58.29470603892211,8.867981568384105,0.0,1,0,Evans-Ni/CMn-1990/1991-1Daw
0.053,0.35,1.83,0.007,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,1.06,-0.4140452151814117,1.0806566415564902,-0.1178481588826863,0.44859560682033983,-0.002763509833547907,0.0004363052622375145,0.013797775451967281,0.00169057165710973,0.0060148694116201485,0.00850625921538946,529.3501194098188,619.3700228813393,28.62996442016628,79.37704672471118,-39.0,100.0,256.6198820390386,6.0,19.0,75.0,0.0,1,0,Evans-Ni/CMn-1990/1991-1Dawch
0.053,0.35,1.83,0.007,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,1.06,-2.636703770568482,0.27114971627736717,-0.1387005393882499,0.09778056117300198,0.02658807990636727,0.0010187053462812482,0.010475329270499819,0.01895566862926301,0.020954525972006213,0.0046724332701141656,521.0,612.0,26.0,74.0,1.0,100.0,177.35032358136405,34.23715974579258,-3.2224902127594213,67.90459557011468,0.0,1,0,Evans-Ni/CMn-1990/1991-1Dht
0.041,0.3,0.62,0.007,0.01,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,2.38,7.612829972433376,0.15245431597122838,0.0989636081141759,0.35285185219396104,0.0036874586641588193,0.001013302392687665,0.025399348841168547,0.016897718093739154,0.02185944377510488,1.532136881330845e-05,466.0,538.0,30.6,77.8,-17.506136866203395,202.61038750250677,228.68468183470753,31.772323137236715,16.05525173522346,70.97756079185197,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Aaw
0.041,0.3,0.62,0.007,0.01,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,2.38,-2.8553452803217114,-0.8866795470402666,-0.11322151671562215,0.42312584841677864,0.03099808363290191,-0.0001354939785540364,0.0016980234933253145,0.0030711685821171626,0.006250087400632362,-0.0017664447553767428,588.6067664588458,612.3640253928537,24.158677437443902,72.11218979679153,-50.0,100.0,268.224677992784,-9.309930844435458,42.57954052699025,59.69490530047235,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Aawch
0.041,0.3,0.62,0.007,0.01,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,2.38,-2.3542486667227167,-0.19176299596315013,0.08398880495046399,-0.18676754739144408,0.019530085211119402,0.0003123836222514782,-0.05087031232259051,-0.007298520967374012,-0.02117024572473588,0.008802467725208735,431.0,518.0,32.2,76.9,-41.0,100.0,256.7105076297981,-21.105135409187405,38.62722118679029,108.29351780659536,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Aht
0.044,0.31,0.96,0.006,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,2.38,1.7260704604414217,-0.46241561909856893,0.2281112151582671,0.24913014055821597,0.032313138298240104,0.0024443302908762257,9.024471115164426e-05,0.006122548116340981,0.017565058552032012,0.009894604618982818,489.0,567.0,30.6,76.9,-20.45423377686491,47.7658057735985,220.72534222462681,30.97570307463181,8.35907695990567,49.96931032634304,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Baw
0.044,0.31,0.96,0.006,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,2.38,-3.6016510537107393,-0.048942669782393707,0.04463129050968247,0.2042705703044465,-0.009832442983704302,0.0007464886820057538,0.025977553232603742,0.019949702407391794,0.011757874928909699,0.009866107429466035,485.29012022024114,583.9953510508556,30.41979101371927,74.49387351627152,-59.0,100.0,241.33879874289156,16.0,38.0,46.0,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Bawch
0.044,0.31,0.96,0.006,0.013,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,2.38,-2.076680158138666,0.6448143256196643,0.0415468669048547,-0.026751809552312156,-0.009539812199934394,-0.00012009096060648292,-0.019207091022434116,0.009666627938858197,-0.00039254807391682963,0.010021371067416934,481.0,561.0,29.1,76.9,-44.0,100.0,156.66502590687205,10.00884435139374,62.783217337776435,2.6141048270879566,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Bht
0.049,0.32,1.41,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,2.32,1.4567539403932475,1.2904431832172496,-0.10561181297201655,0.09495488748272446,0.02932934463624381,0.00011214572119500792,0.01977123993139871,0.005948206946842683,-0.002740415451602215,0.008808802568391581,567.0,635.0,23.6,72.7,6.748983087268979,149.4502907481111,220.68578452731236,41.30181520590394,9.941724527689567,35.986174986941485,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Caw
0.049,0.32,1.41,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,2.32,2.5485034355025284,1.1837130613259803,0.05687700754101839,-0.38251021552128195,0.015895913727069166,0.0020241005421381577,0.001645523235022383,0.01554637580812156,0.01712897907265926,0.0009167854502876833,712.4357417394954,837.9252860119151,15.50829745160173,58.09511353415543,-38.0,100.0,299.5237859006835,49.089708427175594,45.598415322176756,3.205147699545282,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Cawch
0.049,0.32,1.41,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,2.32,-6.011449073211041,-0.0754534706690097,-0.11729197448227144,0.17560155491931154,0.026532895282005087,0.0005596923234566759,-0.01715027843313649,-0.0015556737173958476,-0.00848666968530027,0.012275784283991668,530.0,615.0,26.6,73.0,-20.0,100.0,229.07476729517592,23.74332518217365,66.14136387697202,10.044601579696362,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Cht
0.046,0.32,1.81,0.007,0.015,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,2.33,2.4466550533246405,2.4666373607583107,0.031553666648504945,0.24779808181312485,-0.012794208387865203,0.0017615013471213976,0.03644547033279025,-0.010666528046745567,-0.013195570615847533,-0.006359598829946926,621.0,684.0,23.5,73.9,-48.076037268640306,128.03485338278153,159.6652361942525,7.442116124234349,14.35315560690452,86.96206303622516,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Daw
0.046,0.32,1.81,0.007,0.015,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,2.33,3.1210480361023007,0.16547388448917605,0.052393701277415036,-0.21253925162349713,0.02143179620792768,-2.7741469019833135e-05,0.004333560608360338,-0.009810559863591783,-0.01566499198666479,0.006125128297301094,722.3405545725911,845.0738296271526,13.428376269241369,51.86088307299746,-30.0,100.0,269.0805558119394,5.0,14.0,81.0,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Dawch
0.046,0.32,1.81,0.007,0.015,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,2.33,3.2334542164051108,2.133004071983959,-0.020244638443589938,0.24566985868048002,0.020429576820034462,7.182584927840864e-06,-0.000826166271608586,0.007665297196312865,0.000519938464489493,0.0024934955493967864,574.0,665.0,26.4,70.7,-30.499102847542105,64.33005510449782,210.67487487279865,24.220964567834883,50.22051305434471,38.5048549685836,0.0,1,0,Evans-Ni/CMn-1990/1991-2.25Dht
0.074,0.36,1.51,0.008,0.011,0.04,0.004,0.008,170.0,21.0,1.0,150.0,0.0,0.0,-0.5339538351066611,5.338511239782472,1.2879355100797465,-0.11066236293760523,0.02,0.015584637937739555,-0.0005675356644410799,0.01960130089352844,-0.008679436191093159,-0.008776362417003735,-0.004869140865342987,484.0,560.0,26.0,78.8,-85.7225275152513,125.1120015056191,240.20622442375927,27.38629414991498,1.02235497791305,65.48706107789067,0.0,1,0,Es-Souni&-Cu/CMn-1990--aw***WELDINGPROCEDURE***EvansWeldingJVol59No3(1980)67
0.074,0.36,1.51,0.008,0.011,0.04,0.004,0.008,170.0,21.0,1.0,150.0,580.0,2.0,1.8708353265320654,-1.807426749892341,0.4275450579019782,-0.07132217302300689,0.02,0.0387661039705735,0.0005173822021130065,-0.007936986398063624,-0.005702063050479842,0.008725036038289658,0.00796527522530897,471.0,563.0,31.2,77.0,-95.08546727402148,28.805122777084577,224.60375380121923,42.84556150547205,44.57904105103239,10.349295558457774,0.0,1,0,Es-Souni&-Cu/CMn-1990--ht
0.075,0.36,1.48,0.007,0.006,0.039,0.004,0.008,170.0,21.0,1.0,150.0,0.0,0.0,1.0633368755219308,10.936546863301302,0.4917300720395562,0.006670304664400967,0.11,0.0015285787539710384,8.859075172024263e-05,0.041792318217813526,0.004830079064050087,-0.0035450799797621686,0.01268608377959744,502.0,578.0,27.6,77.0,-15.965284640307004,99.1515113724978,299.9784155851687,61.03655690669761,-22.3315490455385,66.58963552212701,0.0,1,0,Es-Souni&-Cu/CMn-1990-0.2aw
0.075,0.36,1.48,0.007,0.006,0.039,0.004,0.008,170.0,21.0,1.0,150.0,580.0,2.0,-0.7588057806344612,2.514663678104037,1.8731919192422084,0.08620364634139847,0.11,-0.012362699652470128,-5.2153480069019246e-05,0.04252868533066211,0.01184981659688083,0.017739474936894536,-0.006211639836660456,462.0,548.0,29.8,77.9,-88.2820185554956,23.67716116824744,205.1746256894843,-60.72974280032929,58.08148372199011,101.1929665230573,0.0,1,0,Es-Souni&-Cu/CMn-1990-0.2ht
